shipment_id,route_id,synthetic_shipment_date,commodity_type,commodity_temp_ideal_c,commodity_shelf_life_hours,commodity_delay_tolerance_hours,transport_mode,distance_km,estimated_duration_hours,wave_height_m,wave_category,wind_speed_kmh,weather_condition,port_status_flag,port_ambient_temp_c,cold_chain_equipment,max_cargo_temp_excess_c,historical_delay_avg_hours,historical_damage_rate,departure_hour,risk_score,risk_level
synthetic-003117,darat-042,2024-08-05,Salmon Segar,0.5,72,6,darat,156.9,3.43,0.0,Tenang,19.77,Hujan Ringan,1,30.0,pasif,17.88,6.72,0.0811,3,60.71,Low
synthetic-001545,darat-019,2024-08-05,Es Krim,-19.0,2160,2,darat,241.4,5.49,0.0,Tenang,21.81,Cerah Berawan,1,30.0,reefer,0.0,6.09,0.0769,21,37.99,Low
synthetic-002154,darat-028,2024-08-05,Susu Segar,2.5,168,8,darat,333.7,6.92,0.0,Tenang,5.0,Cerah,1,30.0,reefer,0.0,4.67,0.0932,16,32.98,Low
synthetic-001573,darat-020,2024-08-05,Udang Segar,2.0,48,4,darat,219.7,5.08,0.0,Tenang,5.0,Hujan Ringan,1,30.0,pasif,28.57,4.12,0.0773,10,64.83,Medium
synthetic-006685,laut-024,2024-08-05,Udang Beku,-19.0,4320,48,laut,1397.4,61.33,5.036,Sangat Tinggi,54.95,Berawan Tebal,0,27.75,reefer,0.0,26.16,0.3664,20,83.96,High
synthetic-003242,darat-044,2024-08-05,Udang Beku,-19.0,4320,48,darat,271.3,6.39,0.0,Tenang,20.92,Hujan Sedang,1,30.0,pasif,36.13,2.49,0.0807,21,11.12,Low
synthetic-006976,laut-028,2024-08-05,Susu Segar,2.5,168,8,laut,1066.5,54.26,0.98,Rendah,17.75,Berawan,1,28.02,reefer,0.0,14.93,0.1943,14,54.3,Low
synthetic-004795,darat-068,2024-08-05,Daging Sapi Segar,1.5,120,12,darat,455.8,10.03,0.0,Tenang,13.74,Cerah Berawan,1,30.0,pasif,30.5,8.2,0.0941,21,55.62,Low
synthetic-001687,darat-021,2024-08-05,Udang Beku,-19.0,4320,48,darat,155.2,3.22,0.0,Tenang,12.34,Berawan,1,30.0,pasif,23.2,1.0,0.0768,14,7.74,Low
synthetic-011676,kombinasi-014,2024-08-05,Salmon Segar,0.5,72,6,kombinasi,803.9,35.37,2.28,Sedang,22.83,Berawan,1,26.81,reefer,0.0,20.84,0.2584,19,65.11,Medium
synthetic-006239,laut-019,2024-08-05,Udang Segar,2.0,48,4,laut,2305.5,88.29,2.854,Tinggi,29.38,Berawan Tebal,0,28.93,reefer,0.0,38.6,0.3794,10,90.0,High
